Functional class,Parent Funcional class,Parent of parent Functional class,Economical class,Parent Economical class,Parent of parent Economical class,Date,Amount (1000 HUF)
072311 - Fogorvosi alapellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,22 - ebből szociális hozzájárulási adó K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,54
072311 - Fogorvosi alapellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,24 - ebből korkedvezmény biztosítási járulék K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,3
072311 - Fogorvosi alapellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,25 - ebből egészségügyi hozzájárulás K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,1
072311 - Fogorvosi alapellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,28 - ebből munkáltatót terhelő személyi jövedelemadó K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,2
072311 - Fogorvosi alapellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,29 - Szakmai anyagok beszerzése K,32 - Készletbeszerzés,60 - Dologi kiadások,2014-04-16,15
072311 - Fogorvosi alapellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,30 - Üzemeltetési anyagok beszerzése K,32 - Készletbeszerzés,60 - Dologi kiadások,2014-04-16,14
072311 - Fogorvosi alapellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,34 - Egyéb kommunikációs szolgáltatások K,35 - Kommunikációs szolgáltatások,60 - Dologi kiadások,2014-04-16,69
072311 - Fogorvosi alapellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,36 - Közüzemi díjak K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,3478
072311 - Fogorvosi alapellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,40 - Karbantartási kisjavítási szolgáltatások K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,37
072311 - Fogorvosi alapellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,44 - Egyéb szolgáltatások K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,2710
072311 - Fogorvosi alapellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,49 - Működési célú előzetesen felszámított általános forgalmi adó K,59 - Különféle befizetések és egyéb dologi kiadások,60 - Dologi kiadások,2014-04-16,1558
072311 - Fogorvosi alapellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,58 - Egyéb dologi kiadások K,59 - Különféle befizetések és egyéb dologi kiadások,60 - Dologi kiadások,2014-04-16,23
072311 - Fogorvosi alapellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,204 - Ingatlanok felújítása K,208 - Felújítások,271 - Költségvetési kiadások,2014-04-16,1
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,1 - Törvény szerinti illetmények munkabérek K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,26065
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,2 - Normatív jutalmak K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,10
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,3 - Céljuttatás projektprémium K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,664
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,4 - Készenléti ügyeleti helyettesítési díj túlóra túlszolgálat K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,269
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,6 - Jubileumi jutalom K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,239
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,7 - Béren kívüli juttatások K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,923
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,9 - Közlekedési költségtérítés K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,152
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,10 - Egyéb költségtérítések K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,25
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,12 - Szociális támogatások K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,94
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,13 - Foglalkoztatottak egyéb személyi juttatásai,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,908
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,17 - Munkavégzésre irányuló egyéb jogviszonyban nem saját foglalkoztatottnak fizetett juttatások K,19 - Külső személyi juttatások,20 - Személyi juttatások összesen,2014-04-16,1571
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,18 - Egyéb külső személyi juttatások K,19 - Külső személyi juttatások,20 - Személyi juttatások összesen,2014-04-16,74
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,22 - ebből szociális hozzájárulási adó K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,7762
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,24 - ebből korkedvezmény biztosítási járulék K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,383
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,25 - ebből egészségügyi hozzájárulás K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,84
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,26 - ebből táppénz hozzájárulás K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,47
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,28 - ebből munkáltatót terhelő személyi jövedelemadó K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,261
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,29 - Szakmai anyagok beszerzése K,32 - Készletbeszerzés,60 - Dologi kiadások,2014-04-16,2343
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,30 - Üzemeltetési anyagok beszerzése K,32 - Készletbeszerzés,60 - Dologi kiadások,2014-04-16,100
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,33 - Informatikai szolgáltatások igénybevétele K,35 - Kommunikációs szolgáltatások,60 - Dologi kiadások,2014-04-16,494
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,34 - Egyéb kommunikációs szolgáltatások K,35 - Kommunikációs szolgáltatások,60 - Dologi kiadások,2014-04-16,161
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,36 - Közüzemi díjak K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,612
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,38 - Bérleti és lízing díjak,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,81
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,40 - Karbantartási kisjavítási szolgáltatások K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,477
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,43 - Szakmai tevékenységet segítő szolgáltatások K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,36
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,44 - Egyéb szolgáltatások K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,2204
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,49 - Működési célú előzetesen felszámított általános forgalmi adó K,59 - Különféle befizetések és egyéb dologi kiadások,60 - Dologi kiadások,2014-04-16,816
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,50 - Fizetendő általános forgalmi adó K,59 - Különféle befizetések és egyéb dologi kiadások,60 - Dologi kiadások,2014-04-16,19
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,58 - Egyéb dologi kiadások K,59 - Különféle befizetések és egyéb dologi kiadások,60 - Dologi kiadások,2014-04-16,46
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,199 - Egyéb tárgyi eszközök beszerzése létesítése K,203 - Beruházások,271 - Költségvetési kiadások,2014-04-16,57
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,202 - Beruházási célú előzetesen felszámított általános forgalmi adó K,203 - Beruházások,271 - Költségvetési kiadások,2014-04-16,15
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,204 - Ingatlanok felújítása K,208 - Felújítások,271 - Költségvetési kiadások,2014-04-16,142
072313 - Fogorvosi szakellátás,0723 - Fogorvosi szolgáltatások,0722 - Szakosított orvosi szolgáltatások,207 - Felújítási célú előzetesen felszámított általános forgalmi adó K,208 - Felújítások,271 - Költségvetési kiadások,2014-04-16,38
072410 - Otthoni (egészségügyi) szakápolás,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,1 - Törvény szerinti illetmények munkabérek K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,1512
072410 - Otthoni (egészségügyi) szakápolás,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,2 - Normatív jutalmak K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,1
072410 - Otthoni (egészségügyi) szakápolás,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,3 - Céljuttatás projektprémium K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,39
072410 - Otthoni (egészségügyi) szakápolás,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,4 - Készenléti ügyeleti helyettesítési díj túlóra túlszolgálat K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,15
072410 - Otthoni (egészségügyi) szakápolás,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,6 - Jubileumi jutalom K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,14
072410 - Otthoni (egészségügyi) szakápolás,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,7 - Béren kívüli juttatások K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,54
072410 - Otthoni (egészségügyi) szakápolás,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,9 - Közlekedési költségtérítés K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,9
072410 - Otthoni (egészségügyi) szakápolás,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,10 - Egyéb költségtérítések K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,1
072410 - Otthoni (egészségügyi) szakápolás,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,12 - Szociális támogatások K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,5
072410 - Otthoni (egészségügyi) szakápolás,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,13 - Foglalkoztatottak egyéb személyi juttatásai,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,53
072410 - Otthoni (egészségügyi) szakápolás,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,17 - Munkavégzésre irányuló egyéb jogviszonyban nem saját foglalkoztatottnak fizetett juttatások K,19 - Külső személyi juttatások,20 - Személyi juttatások összesen,2014-04-16,91
072410 - Otthoni (egészségügyi) szakápolás,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,18 - Egyéb külső személyi juttatások K,19 - Külső személyi juttatások,20 - Személyi juttatások összesen,2014-04-16,4
072410 - Otthoni (egészségügyi) szakápolás,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,22 - ebből szociális hozzájárulási adó K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,450
072410 - Otthoni (egészségügyi) szakápolás,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,24 - ebből korkedvezmény biztosítási járulék K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,22
072410 - Otthoni (egészségügyi) szakápolás,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,25 - ebből egészségügyi hozzájárulás K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,5
072410 - Otthoni (egészségügyi) szakápolás,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,26 - ebből táppénz hozzájárulás K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,3
072410 - Otthoni (egészségügyi) szakápolás,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,28 - ebből munkáltatót terhelő személyi jövedelemadó K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,15
072410 - Otthoni (egészségügyi) szakápolás,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,29 - Szakmai anyagok beszerzése K,32 - Készletbeszerzés,60 - Dologi kiadások,2014-04-16,125
072410 - Otthoni (egészségügyi) szakápolás,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,30 - Üzemeltetési anyagok beszerzése K,32 - Készletbeszerzés,60 - Dologi kiadások,2014-04-16,5
072410 - Otthoni (egészségügyi) szakápolás,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,33 - Informatikai szolgáltatások igénybevétele K,35 - Kommunikációs szolgáltatások,60 - Dologi kiadások,2014-04-16,71
072410 - Otthoni (egészségügyi) szakápolás,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,34 - Egyéb kommunikációs szolgáltatások K,35 - Kommunikációs szolgáltatások,60 - Dologi kiadások,2014-04-16,39
072410 - Otthoni (egészségügyi) szakápolás,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,36 - Közüzemi díjak K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,79
072410 - Otthoni (egészségügyi) szakápolás,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,40 - Karbantartási kisjavítási szolgáltatások K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,26
072410 - Otthoni (egészségügyi) szakápolás,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,43 - Szakmai tevékenységet segítő szolgáltatások K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,3797
072410 - Otthoni (egészségügyi) szakápolás,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,44 - Egyéb szolgáltatások K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,66
072410 - Otthoni (egészségügyi) szakápolás,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,49 - Működési célú előzetesen felszámított általános forgalmi adó K,59 - Különféle befizetések és egyéb dologi kiadások,60 - Dologi kiadások,2014-04-16,113
072410 - Otthoni (egészségügyi) szakápolás,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,50 - Fizetendő általános forgalmi adó K,59 - Különféle befizetések és egyéb dologi kiadások,60 - Dologi kiadások,2014-04-16,1
072410 - Otthoni (egészségügyi) szakápolás,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,58 - Egyéb dologi kiadások K,59 - Különféle befizetések és egyéb dologi kiadások,60 - Dologi kiadások,2014-04-16,92
072410 - Otthoni (egészségügyi) szakápolás,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,199 - Egyéb tárgyi eszközök beszerzése létesítése K,203 - Beruházások,271 - Költségvetési kiadások,2014-04-16,2
072410 - Otthoni (egészségügyi) szakápolás,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,202 - Beruházási célú előzetesen felszámított általános forgalmi adó K,203 - Beruházások,271 - Költségvetési kiadások,2014-04-16,1
072410 - Otthoni (egészségügyi) szakápolás,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,207 - Felújítási célú előzetesen felszámított általános forgalmi adó K,208 - Felújítások,271 - Költségvetési kiadások,2014-04-16,2
072420 - Egészségügyi laboratóriumi szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,1 - Törvény szerinti illetmények munkabérek K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,56484
072420 - Egészségügyi laboratóriumi szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,2 - Normatív jutalmak K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,21
072420 - Egészségügyi laboratóriumi szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,3 - Céljuttatás projektprémium K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,1439
072420 - Egészségügyi laboratóriumi szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,4 - Készenléti ügyeleti helyettesítési díj túlóra túlszolgálat K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,583
072420 - Egészségügyi laboratóriumi szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,6 - Jubileumi jutalom K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,517
072420 - Egészségügyi laboratóriumi szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,7 - Béren kívüli juttatások K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,2000
072420 - Egészségügyi laboratóriumi szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,9 - Közlekedési költségtérítés K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,330
072420 - Egészségügyi laboratóriumi szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,10 - Egyéb költségtérítések K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,114
072420 - Egészségügyi laboratóriumi szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,12 - Szociális támogatások K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,204
072420 - Egészségügyi laboratóriumi szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,13 - Foglalkoztatottak egyéb személyi juttatásai,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,1968
072420 - Egészségügyi laboratóriumi szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,17 - Munkavégzésre irányuló egyéb jogviszonyban nem saját foglalkoztatottnak fizetett juttatások K,19 - Külső személyi juttatások,20 - Személyi juttatások összesen,2014-04-16,3405
072420 - Egészségügyi laboratóriumi szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,18 - Egyéb külső személyi juttatások K,19 - Külső személyi juttatások,20 - Személyi juttatások összesen,2014-04-16,161
072420 - Egészségügyi laboratóriumi szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,22 - ebből szociális hozzájárulási adó K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,16820
072420 - Egészségügyi laboratóriumi szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,24 - ebből korkedvezmény biztosítási járulék K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,830
072420 - Egészségügyi laboratóriumi szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,25 - ebből egészségügyi hozzájárulás K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,182
072420 - Egészségügyi laboratóriumi szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,26 - ebből táppénz hozzájárulás K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,103
072420 - Egészségügyi laboratóriumi szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,28 - ebből munkáltatót terhelő személyi jövedelemadó K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,565
072420 - Egészségügyi laboratóriumi szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,29 - Szakmai anyagok beszerzése K,32 - Készletbeszerzés,60 - Dologi kiadások,2014-04-16,4760
072420 - Egészségügyi laboratóriumi szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,30 - Üzemeltetési anyagok beszerzése K,32 - Készletbeszerzés,60 - Dologi kiadások,2014-04-16,895
072420 - Egészségügyi laboratóriumi szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,33 - Informatikai szolgáltatások igénybevétele K,35 - Kommunikációs szolgáltatások,60 - Dologi kiadások,2014-04-16,2704
072420 - Egészségügyi laboratóriumi szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,34 - Egyéb kommunikációs szolgáltatások K,35 - Kommunikációs szolgáltatások,60 - Dologi kiadások,2014-04-16,35
072420 - Egészségügyi laboratóriumi szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,36 - Közüzemi díjak K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,2696
072420 - Egészségügyi laboratóriumi szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,40 - Karbantartási kisjavítási szolgáltatások K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,752
072420 - Egészségügyi laboratóriumi szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,43 - Szakmai tevékenységet segítő szolgáltatások K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,26173
072420 - Egészségügyi laboratóriumi szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,44 - Egyéb szolgáltatások K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,3034
072420 - Egészségügyi laboratóriumi szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,49 - Működési célú előzetesen felszámított általános forgalmi adó K,59 - Különféle befizetések és egyéb dologi kiadások,60 - Dologi kiadások,2014-04-16,3026
072420 - Egészségügyi laboratóriumi szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,50 - Fizetendő általános forgalmi adó K,59 - Különféle befizetések és egyéb dologi kiadások,60 - Dologi kiadások,2014-04-16,42
072420 - Egészségügyi laboratóriumi szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,58 - Egyéb dologi kiadások K,59 - Különféle befizetések és egyéb dologi kiadások,60 - Dologi kiadások,2014-04-16,70
072420 - Egészségügyi laboratóriumi szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,199 - Egyéb tárgyi eszközök beszerzése létesítése K,203 - Beruházások,271 - Költségvetési kiadások,2014-04-16,1071
072420 - Egészségügyi laboratóriumi szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,202 - Beruházási célú előzetesen felszámított általános forgalmi adó K,203 - Beruházások,271 - Költségvetési kiadások,2014-04-16,289
072420 - Egészségügyi laboratóriumi szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,204 - Ingatlanok felújítása K,208 - Felújítások,271 - Költségvetési kiadások,2014-04-16,307
072420 - Egészségügyi laboratóriumi szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,207 - Felújítási célú előzetesen felszámított általános forgalmi adó K,208 - Felújítások,271 - Költségvetési kiadások,2014-04-16,83
072430 - Képalkotó diagnosztikai szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,1 - Törvény szerinti illetmények munkabérek K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,35136
072430 - Képalkotó diagnosztikai szolgáltatások,0724 - Paramedikális szolgáltatások,0723 - Fogorvosi szolgáltatások,2 - Normatív jutalmak K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,14
