Level1,Level2,Level3,Total
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Béren kívüli juttatások K (7),1127
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Közlekedési költségtérítés K (9),186
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Egyéb költségtérítések K (10),31
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Szociális támogatások K (12),115
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Foglalkoztatottak egyéb személyi juttatásai (13),1108
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Munkavégzésre irányuló egyéb jogviszonyban nem saját foglalkoztatottnak fizetett juttatások K (17),1918
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Egyéb külső személyi juttatások K (18),90
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből szociális hozzájárulási adó K (22),9473
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből korkedvezmény biztosítási járulék K (24),467
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből egészségügyi hozzájárulás K (25),103
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből táppénz hozzájárulás K (26),58
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből munkáltatót terhelő személyi jövedelemadó K (28),318
Dologi kiadások (60),32 - Készletbeszerzés (32),Szakmai anyagok beszerzése K (29),2631
Dologi kiadások (60),32 - Készletbeszerzés (32),Üzemeltetési anyagok beszerzése K (30),89
Dologi kiadások (60),35 - Kommunikációs szolgáltatások (35),Informatikai szolgáltatások igénybevétele K (33),521
Dologi kiadások (60),35 - Kommunikációs szolgáltatások (35),Egyéb kommunikációs szolgáltatások K (34),32
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Közüzemi díjak K (36),1076
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Karbantartási kisjavítási szolgáltatások K (40),38
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Szakmai tevékenységet segítő szolgáltatások K (43),13
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Egyéb szolgáltatások K (44),1120
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Működési célú előzetesen felszámított általános forgalmi adó K (49),1532
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Fizetendő általános forgalmi adó K (50),24
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Egyéb dologi kiadások K (58),40
Költségvetési kiadások (271),208 - Felújítások (208),Ingatlanok felújítása K (204),173
Költségvetési kiadások (271),208 - Felújítások (208),Felújítási célú előzetesen felszámított általános forgalmi adó K (207),47
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Törvény szerinti illetmények munkabérek K (1),181
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Céljuttatás projektprémium K (3),5
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Készenléti ügyeleti helyettesítési díj túlóra túlszolgálat K (4),2
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Jubileumi jutalom K (6),2
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Béren kívüli juttatások K (7),6
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Közlekedési költségtérítés K (9),1
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Szociális támogatások K (12),1
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Foglalkoztatottak egyéb személyi juttatásai (13),6
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Munkavégzésre irányuló egyéb jogviszonyban nem saját foglalkoztatottnak fizetett juttatások K (17),10
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Egyéb külső személyi juttatások K (18),1
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből szociális hozzájárulási adó K (22),54
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből korkedvezmény biztosítási járulék K (24),3
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből egészségügyi hozzájárulás K (25),1
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből munkáltatót terhelő személyi jövedelemadó K (28),2
Dologi kiadások (60),32 - Készletbeszerzés (32),Szakmai anyagok beszerzése K (29),15
Dologi kiadások (60),32 - Készletbeszerzés (32),Üzemeltetési anyagok beszerzése K (30),14
Dologi kiadások (60),35 - Kommunikációs szolgáltatások (35),Egyéb kommunikációs szolgáltatások K (34),69
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Közüzemi díjak K (36),3478
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Karbantartási kisjavítási szolgáltatások K (40),37
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Egyéb szolgáltatások K (44),2710
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Működési célú előzetesen felszámított általános forgalmi adó K (49),1558
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Egyéb dologi kiadások K (58),23
Költségvetési kiadások (271),208 - Felújítások (208),Ingatlanok felújítása K (204),1
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Törvény szerinti illetmények munkabérek K (1),26065
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Normatív jutalmak K (2),10
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Céljuttatás projektprémium K (3),664
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Készenléti ügyeleti helyettesítési díj túlóra túlszolgálat K (4),269
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Jubileumi jutalom K (6),239
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Béren kívüli juttatások K (7),923
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Közlekedési költségtérítés K (9),152
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Egyéb költségtérítések K (10),25
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Szociális támogatások K (12),94
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Foglalkoztatottak egyéb személyi juttatásai (13),908
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Munkavégzésre irányuló egyéb jogviszonyban nem saját foglalkoztatottnak fizetett juttatások K (17),1571
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Egyéb külső személyi juttatások K (18),74
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből szociális hozzájárulási adó K (22),7762
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből korkedvezmény biztosítási járulék K (24),383
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből egészségügyi hozzájárulás K (25),84
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből táppénz hozzájárulás K (26),47
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből munkáltatót terhelő személyi jövedelemadó K (28),261
Dologi kiadások (60),32 - Készletbeszerzés (32),Szakmai anyagok beszerzése K (29),2343
Dologi kiadások (60),32 - Készletbeszerzés (32),Üzemeltetési anyagok beszerzése K (30),100
Dologi kiadások (60),35 - Kommunikációs szolgáltatások (35),Informatikai szolgáltatások igénybevétele K (33),494
Dologi kiadások (60),35 - Kommunikációs szolgáltatások (35),Egyéb kommunikációs szolgáltatások K (34),161
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Közüzemi díjak K (36),612
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Bérleti és lízing díjak (38),81
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Karbantartási kisjavítási szolgáltatások K (40),477
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Szakmai tevékenységet segítő szolgáltatások K (43),36
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Egyéb szolgáltatások K (44),2204
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Működési célú előzetesen felszámított általános forgalmi adó K (49),816
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Fizetendő általános forgalmi adó K (50),19
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Egyéb dologi kiadások K (58),46
Költségvetési kiadások (271),203 - Beruházások (203),Egyéb tárgyi eszközök beszerzése létesítése K (199),57
Költségvetési kiadások (271),203 - Beruházások (203),Beruházási célú előzetesen felszámított általános forgalmi adó K (202),15
Költségvetési kiadások (271),208 - Felújítások (208),Ingatlanok felújítása K (204),142
Költségvetési kiadások (271),208 - Felújítások (208),Felújítási célú előzetesen felszámított általános forgalmi adó K (207),38
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Törvény szerinti illetmények munkabérek K (1),1512
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Normatív jutalmak K (2),1
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Céljuttatás projektprémium K (3),39
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Készenléti ügyeleti helyettesítési díj túlóra túlszolgálat K (4),15
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Jubileumi jutalom K (6),14
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Béren kívüli juttatások K (7),54
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Közlekedési költségtérítés K (9),9
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Egyéb költségtérítések K (10),1
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Szociális támogatások K (12),5
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Foglalkoztatottak egyéb személyi juttatásai (13),53
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Munkavégzésre irányuló egyéb jogviszonyban nem saját foglalkoztatottnak fizetett juttatások K (17),91
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Egyéb külső személyi juttatások K (18),4
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből szociális hozzájárulási adó K (22),450
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből korkedvezmény biztosítási járulék K (24),22
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből egészségügyi hozzájárulás K (25),5
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből táppénz hozzájárulás K (26),3
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből munkáltatót terhelő személyi jövedelemadó K (28),15
Dologi kiadások (60),32 - Készletbeszerzés (32),Szakmai anyagok beszerzése K (29),125
Dologi kiadások (60),32 - Készletbeszerzés (32),Üzemeltetési anyagok beszerzése K (30),5
Dologi kiadások (60),35 - Kommunikációs szolgáltatások (35),Informatikai szolgáltatások igénybevétele K (33),71
Dologi kiadások (60),35 - Kommunikációs szolgáltatások (35),Egyéb kommunikációs szolgáltatások K (34),39
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Közüzemi díjak K (36),79
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Karbantartási kisjavítási szolgáltatások K (40),26
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Szakmai tevékenységet segítő szolgáltatások K (43),3797
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Egyéb szolgáltatások K (44),66
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Működési célú előzetesen felszámított általános forgalmi adó K (49),113
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Fizetendő általános forgalmi adó K (50),1
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Egyéb dologi kiadások K (58),92
Költségvetési kiadások (271),203 - Beruházások (203),Egyéb tárgyi eszközök beszerzése létesítése K (199),2
Költségvetési kiadások (271),203 - Beruházások (203),Beruházási célú előzetesen felszámított általános forgalmi adó K (202),1
Költségvetési kiadások (271),208 - Felújítások (208),Ingatlanok felújítása K (204),8
Költségvetési kiadások (271),208 - Felújítások (208),Felújítási célú előzetesen felszámított általános forgalmi adó K (207),2
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Törvény szerinti illetmények munkabérek K (1),56484
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Normatív jutalmak K (2),21
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Céljuttatás projektprémium K (3),1439
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Készenléti ügyeleti helyettesítési díj túlóra túlszolgálat K (4),583
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Jubileumi jutalom K (6),517
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Béren kívüli juttatások K (7),2000
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Közlekedési költségtérítés K (9),330
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Egyéb költségtérítések K (10),114
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Szociális támogatások K (12),204
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Foglalkoztatottak egyéb személyi juttatásai (13),1968
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Munkavégzésre irányuló egyéb jogviszonyban nem saját foglalkoztatottnak fizetett juttatások K (17),3405
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Egyéb külső személyi juttatások K (18),161
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből szociális hozzájárulási adó K (22),16820
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből korkedvezmény biztosítási járulék K (24),830
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből egészségügyi hozzájárulás K (25),182
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből táppénz hozzájárulás K (26),103
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből munkáltatót terhelő személyi jövedelemadó K (28),565
Dologi kiadások (60),32 - Készletbeszerzés (32),Szakmai anyagok beszerzése K (29),4760
Dologi kiadások (60),32 - Készletbeszerzés (32),Üzemeltetési anyagok beszerzése K (30),895
Dologi kiadások (60),35 - Kommunikációs szolgáltatások (35),Informatikai szolgáltatások igénybevétele K (33),2704
Dologi kiadások (60),35 - Kommunikációs szolgáltatások (35),Egyéb kommunikációs szolgáltatások K (34),35
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Közüzemi díjak K (36),2696
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Karbantartási kisjavítási szolgáltatások K (40),752
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Szakmai tevékenységet segítő szolgáltatások K (43),26173
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Egyéb szolgáltatások K (44),3034
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Működési célú előzetesen felszámított általános forgalmi adó K (49),3026
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Fizetendő általános forgalmi adó K (50),42
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Egyéb dologi kiadások K (58),70
Költségvetési kiadások (271),203 - Beruházások (203),Egyéb tárgyi eszközök beszerzése létesítése K (199),1071
Költségvetési kiadások (271),203 - Beruházások (203),Beruházási célú előzetesen felszámított általános forgalmi adó K (202),289
Költségvetési kiadások (271),208 - Felújítások (208),Ingatlanok felújítása K (204),307
Költségvetési kiadások (271),208 - Felújítások (208),Felújítási célú előzetesen felszámított általános forgalmi adó K (207),83
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Törvény szerinti illetmények munkabérek K (1),35136
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Normatív jutalmak K (2),14
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Céljuttatás projektprémium K (3),895
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Készenléti ügyeleti helyettesítési díj túlóra túlszolgálat K (4),363
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Jubileumi jutalom K (6),322
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Béren kívüli juttatások K (7),1244
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Közlekedési költségtérítés K (9),206
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Egyéb költségtérítések K (10),124
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Szociális támogatások K (12),126
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Foglalkoztatottak egyéb személyi juttatásai (13),1224
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Munkavégzésre irányuló egyéb jogviszonyban nem saját foglalkoztatottnak fizetett juttatások K (17),2118
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Egyéb külső személyi juttatások K (18),100
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből szociális hozzájárulási adó K (22),10463
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből korkedvezmény biztosítási járulék K (24),516
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből egészségügyi hozzájárulás K (25),113
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből táppénz hozzájárulás K (26),64
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből munkáltatót terhelő személyi jövedelemadó K (28),352
Dologi kiadások (60),32 - Készletbeszerzés (32),Szakmai anyagok beszerzése K (29),3133
Dologi kiadások (60),32 - Készletbeszerzés (32),Üzemeltetési anyagok beszerzése K (30),241
Dologi kiadások (60),35 - Kommunikációs szolgáltatások (35),Informatikai szolgáltatások igénybevétele K (33),4316
Dologi kiadások (60),35 - Kommunikációs szolgáltatások (35),Egyéb kommunikációs szolgáltatások K (34),83
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Közüzemi díjak K (36),3608
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Karbantartási kisjavítási szolgáltatások K (40),5582
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Szakmai tevékenységet segítő szolgáltatások K (43),14680
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Egyéb szolgáltatások K (44),3086
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Működési célú előzetesen felszámított általános forgalmi adó K (49),4643
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Fizetendő általános forgalmi adó K (50),26
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Egyéb dologi kiadások K (58),43
Költségvetési kiadások (271),203 - Beruházások (203),Informatikai eszközök beszerzése létesítése K (198),780
Költségvetési kiadások (271),203 - Beruházások (203),Egyéb tárgyi eszközök beszerzése létesítése K (199),12028
Költségvetési kiadások (271),203 - Beruházások (203),Beruházási célú előzetesen felszámított általános forgalmi adó K (202),3458
Költségvetési kiadások (271),208 - Felújítások (208),Ingatlanok felújítása K (204),191
Költségvetési kiadások (271),208 - Felújítások (208),Egyéb tárgyi eszközök felújítása K (206),565
Költségvetési kiadások (271),208 - Felújítások (208),Felújítási célú előzetesen felszámított általános forgalmi adó K (207),204
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Törvény szerinti illetmények munkabérek K (1),5745
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Normatív jutalmak K (2),2
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Céljuttatás projektprémium K (3),147
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Készenléti ügyeleti helyettesítési díj túlóra túlszolgálat K (4),59
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Jubileumi jutalom K (6),53
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Béren kívüli juttatások K (7),203
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Közlekedési költségtérítés K (9),34
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Egyéb költségtérítések K (10),5
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Szociális támogatások K (12),21
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Foglalkoztatottak egyéb személyi juttatásai (13),200
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Munkavégzésre irányuló egyéb jogviszonyban nem saját foglalkoztatottnak fizetett juttatások K (17),347
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Egyéb külső személyi juttatások K (18),16
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből szociális hozzájárulási adó K (22),1711
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből korkedvezmény biztosítási járulék K (24),84
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből egészségügyi hozzájárulás K (25),19
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből táppénz hozzájárulás K (26),10
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből munkáltatót terhelő személyi jövedelemadó K (28),57
Dologi kiadások (60),32 - Készletbeszerzés (32),Szakmai anyagok beszerzése K (29),653
Dologi kiadások (60),32 - Készletbeszerzés (32),Üzemeltetési anyagok beszerzése K (30),27
Dologi kiadások (60),35 - Kommunikációs szolgáltatások (35),Informatikai szolgáltatások igénybevétele K (33),299
Dologi kiadások (60),35 - Kommunikációs szolgáltatások (35),Egyéb kommunikációs szolgáltatások K (34),14
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Közüzemi díjak K (36),574
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Karbantartási kisjavítási szolgáltatások K (40),8
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Szakmai tevékenységet segítő szolgáltatások K (43),16
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Egyéb szolgáltatások K (44),533
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Működési célú előzetesen felszámított általános forgalmi adó K (49),496
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Fizetendő általános forgalmi adó K (50),4
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Egyéb dologi kiadások K (58),298
Költségvetési kiadások (271),203 - Beruházások (203),Egyéb tárgyi eszközök beszerzése létesítése K (199),14
Költségvetési kiadások (271),203 - Beruházások (203),Beruházási célú előzetesen felszámított általános forgalmi adó K (202),4
Költségvetési kiadások (271),208 - Felújítások (208),Ingatlanok felújítása K (204),31
Költségvetési kiadások (271),208 - Felújítások (208),Felújítási célú előzetesen felszámított általános forgalmi adó K (207),8
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Törvény szerinti illetmények munkabérek K (1),84661
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Normatív jutalmak K (2),32
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Céljuttatás projektprémium K (3),2160
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Készenléti ügyeleti helyettesítési díj túlóra túlszolgálat K (4),875
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Jubileumi jutalom K (6),777
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Béren kívüli juttatások K (7),3002
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Közlekedési költségtérítés K (9),496
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Egyéb költségtérítések K (10),81
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Szociális támogatások K (12),306
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Foglalkoztatottak egyéb személyi juttatásai (13),2954
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Munkavégzésre irányuló egyéb jogviszonyban nem saját foglalkoztatottnak fizetett juttatások K (17),5111
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Egyéb külső személyi juttatások K (18),241
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből szociális hozzájárulási adó K (22),25248
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből korkedvezmény biztosítási járulék K (24),1246
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből egészségügyi hozzájárulás K (25),274
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből táppénz hozzájárulás K (26),155
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből munkáltatót terhelő személyi jövedelemadó K (28),848
Dologi kiadások (60),32 - Készletbeszerzés (32),Szakmai anyagok beszerzése K (29),7012
Dologi kiadások (60),32 - Készletbeszerzés (32),Üzemeltetési anyagok beszerzése K (30),847
Dologi kiadások (60),35 - Kommunikációs szolgáltatások (35),Informatikai szolgáltatások igénybevétele K (33),1321
Dologi kiadások (60),35 - Kommunikációs szolgáltatások (35),Egyéb kommunikációs szolgáltatások K (34),1394
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Közüzemi díjak K (36),3402
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Bérleti és lízing díjak (38),64
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Karbantartási kisjavítási szolgáltatások K (40),438
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Szakmai tevékenységet segítő szolgáltatások K (43),1
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Egyéb szolgáltatások K (44),2344
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Működési célú előzetesen felszámított általános forgalmi adó K (49),3858
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Fizetendő általános forgalmi adó K (50),63
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Egyéb dologi kiadások K (58),4451
